Category,publish,post_by,post_date,weekday,title,Content,traffic/aresst_location,state,case,#Criminals,c_race,url
new,news,NBCwashinton,8/1/2019,4,"5 Arrested in DC for Sex Trafficking of Children, Police Say","Five people were arrested in the District this week and charged with sex trafficking of children, authorities announced late Wednesday. Curtis Lakeith Fowler, 24, of Southwest D.C., was arrested Monday and charged with sex trafficking of children.
Four more suspects were arrested Tuesday and charged with sex trafficking of children: 45-year-old Willis Pierre Lewis, 26-year-old Ashley Briana Taylor and 23-year-old Rodrick McGrier Barton, all of Oxon Hill, Maryland, and 30-year-old Brittany Alleesse-Nancy Jones, of Suitland, Maryland.
The suspects are accused of trafficking minors in various parts of D.C. between April 25 and May 16. They ""knowingly recruited, enticed, harbored, transported, provided, obtained, and maintained juveniles for commercial sex acts,"" according to Metropolitan Police and and the FBI.
The victims were a 15-year-old girl and a 17-year-old girl, according to a police report.",Southwest,DC,1,4,NA,https://www.nbcwashington.com/news/local/5-arrested-in-dc-for-sex-trafficking-of-children-police-say/133640/
new,news,,2/25/2020,2,Human trafficking suspects appear in court,"ALBUQUERQUE, N.M. (KRQE) – A man and woman from Oregon accused of trafficking a teenager in Albuquerque appeared in court on Tuesday. Kenny Jones and Jetaime James were arrested at Central and Florida St. last week. A 17-year-old girl claims James introduced her to Jones who picked her up in California and told her he wanted to transport her to other states for prostitution. They eventually made their way to Albuquerque. In district court on Tuesday morning, Judge Daniel Ramczyk placed a $10,000 cash or surety bond on Jones. James was released on her own recognizance following an assessment by pre-trial services.",Central and Florida St.,Albuquerque,3,2,African-American,https://www.krqe.com/news/crime/human-trafficking-suspects-appear-in-court/?fbclid=IwAR0hMqfAD6P7jvyMJycSiQtnZtvX1IlEYf2gfzVcx_22jPYt_NaCvkdztI8
new,news,newson6.com,11/6/2019,3,2 Tulsa Brothers Arrested For Human Trafficking,"TULSA, Oklahoma - Two brothers accused of trafficking a young girl and sexually assaulting her are behind bars Wednesday evening.

Tulsa Police said brothers Kearis and Keandre Snell worked together to traffic a young girl, and possibly more victims.

An affidavit says the victim, who was 12 at the time of the assault, was dating Kearis, now 18, in April 2018.

It says Kearis ""informed her she was going to make some money,"" then it says 21-year-old Keandre sexually assaulted the girl. Kearis ""took money from Keandre for the sexual act,"" court records state.
It says Kearis ""works every girl he dates.""
""It's very prevalent here,"" said Carrie Tabor, who works with Hope 918, an organization fighting trafficking and sexual exploitation.
She said victims are often brought into human trafficking at a young age.
""This girl is 12,"" Tabor said. ""That's the average age of someone that becomes a victim of trafficking. It keeps happening younger and younger.""
The victim said Kearis threatened her after ending the relationship in July 2018.
""There were so many other victims of these two brothers potentially,"" said Andrea Graver with the non-profit Defending Dignity.

She said most of the time - traffickers know their victims.

""What we see is they're being trafficked by someone they know,"" said Graver. ""It's a boyfriend, a friend; it's a peer.""

Both women said all victims of sex trafficking have an opportunity to recover and get help.

""We are here for you,"" Graver said.

Both men are in the Tulsa County Jail on charges of child human trafficking.

Their bonds are set at $100,000 each.",Tulsa,Oklahoma,4,3,African-American,https://www.newson6.com/story/41284324/2-tulsa-brothers-arrested-for-human-trafficking
new,news,ktul.com,11/5/2019,2,Tulsa brothers arrested for allegedly trafficking underage girlfriend,"TULSA, Okla. (KTUL) — Tulsa police arrested two brothers in connection to a human trafficking investigation.

On Oct. 9, a young girl told officers she was 12 years old when she dated her ex-boyfriend, Kearis Snell, in April 2018.

She said she knocked on the front door, but Kearis was waiting for her outside. He told her she was going to ""make some money.""

When they went inside the house, he led her to a back bedroom, where she met his brother, Keandre Snell.

Keandre told the victim she would be giving him oral sex, and he told her he had money for her.

Before he could give her the money, Kearis said the money belonged to him. Keandre gave his brother about $50 to $80, according to the victim.

She broke up with Kearis in July 2018. She told police that he has constantly tried to contact her and has left multiple messages, saying she's ""his"" and that she owes him money.

The victim said Kearis had told her he'd rent a room at the Knights Inn in order to ""make money."" She refused.

She told police he also contacted her, saying she owes him money because he made a ""job"" for her and said he wanted more compensation.

The victim said Kearis ""works"" every girl he dates.

She told officers she was threatened by him multiple times and he has told her that ""nobody is going to stop me from seeing you.""

Police arrested Keandre on Oct. 31 and Kearis on Nov. 4 and booked them into the Tulsa County Jail. Both brothers are facing a child human trafficking charge, and Keandre is also facing a lewd molestation charge.",Tulsa,Oklahoma,4,3,African-American,https://ktul.com/news/local/human-trafficking-arrests
new,news,Tulsa World,11/5/2019,2,Tulsa brothers picked up on child human trafficking charges,"Two Tulsa brothers are in custody to face child human trafficking charges after the main defendant was picked up on Monday.
Kearis Travon Snell, 18, was booked into the Tulsa County jail about 11:35 a.m. on a charge of child human trafficking. His older brother, Keandre Leon Snell, 21, has been in the jail since Thursday on the same charge, plus an additional charge of lewd molestation.
Prosecutors allege Keandre paid Kearis for a sex act committed by a 12-year-old girl in the spring of 2018. The brothers were charged in Tulsa County District Court on Oct. 16.  The victim told police she had been living with Kearis Snell and that they’d been involved in a relationship. One night he met her outside and told her she was going to “make some money,” according to a probable cause affidavit.

He led her to a back room where she performed a sex act on Keandre, and Kearis pocketed Keandre’s payment, the affidavit states.

Although the victim later ended the relationship with Kearis, she told police he has since incessantly attempted to contact her and threatened her, saying that he claimed her, she is “his,” and “nobody is going to stop me from seeing you.”
“The (victim) stated that Kearis ‘works’ every girl that he dates,” the affidavit states. “She also stated that Keandre ‘messes’ with younger girls.”
The brothers remained in jail Monday afternoon on $100,000 bonds. The fault never lies on the victims, Wilson said, but on their manipulators and those providing a demand for the crime.
The men involved in sex trafficking view the girls and women not as human beings, but as property, Wilson said. They are a means to an end for their business, and there’s a demand they’re trying to keep up with.
“You’d be shocked at who’s out there buying,” Wilson said. “We’re talking people out there from all walks of life, all socioeconomic statuses, all jobs.”

The Vice Unit bears a unique burden in investigating trafficking activity in Tulsa. Detectives receive many tips and pursue countless leads, but the crime itself is elusive and difficult to prove, Wilson said.

“This is a much more difficult crime to talk about than robbery or homicide or burglary, because people report that,” Wilson said. “There’s so much more going on that we don’t know about, and we know about a lot.”
Wilson said most females are victimized by someone they know, be it an acquaintance, friend, significant other, or even family member, and he urged residents to be in the know about their loved ones’ lives.
Be aware of what people are capable of, know the dangers of social media and dating apps, and make an effort to know who your loved one is hanging out with, Wilson said.
“Ignorance is bliss,” Wilson said. “But if you turn a blind eye to what is out there, you run the risk of somebody that you love being a victim.”
Lt. Brian Wilson, who oversees the Tulsa Police Department’s Vice Unit, said although it’s a common perception that most human trafficking victims come from out of state, it’s not the case in Tulsa.
“Disturbingly enough, it’s the girls and women here in Tulsa who are becoming victims of human trafficking,” he said.
Wilson said the most common victims are runaways or girls who have not been provided a healthy support system, and they are often victimized by people they think they can trust.",Tulsa,Oklahoma,4,3,African-American,https://www.tulsaworld.com/news/local/crime-and-courts/tulsa-brothers-picked-up-on-child-human-trafficking-charges/article_a1cf9f01-a58e-570f-9682-0814e1940b94.html
new,news,NBCwashinton,3/27/2019,1,9 Charged for Human Trafficking in Arlington County,"Police in Arlington County, Virginia, announced Wednesday nine arrests related to human and sex trafficking in Northern Virginia.
The two-day operation on March 21 and 22 was conducted by both the FBI Washington Field Office’s Child Exploitation and Human Trafficking Task Force and police officers from ACPD’s Criminal Investigations and Operations Sections to find victims of trafficking.
“The goals of this proactive operation...were to attempt to locate any juveniles being exploited into sex trade and help raise awareness about sex trafficking in our community,” the police department said in a news release.
Five of the people charged are from the District or Virginia, while four are from Arkansas, California, Nevada and New York
Marquilla Braxton, 21, from the District, Ashley Kibler, 22, of Washington, Virginia, Debbie Sanchez, 26, of Sacramento, California, and Wanxiu Kang, 45, of Flushing, New York, were charged with misdemeanor prostitution.
Kayle Rolle, 22, of Fayetteville, Arkansas, was charged with misdemeanor prostitution and detained on outstanding out-of-state warrants.
Faith Horton, 22, of Front Royal, Virginia, was charged with misdemeanor prostitution and felony child endangerment.
Lillian Moody, 22, also of Front Royal, was charged with misdemeanor contributing to the delinquency of a minor.
Katherine Haberman, 22, of Las Vegas, Nevada, was charged with misdemeanor prostitution and possession of marijuana.
And Gary Dulaney, 70, of Clifton, Virginia, was charged with felony use of a vehicle to promote prostitution.
Police said they identified advertisements promoting prostitution in Arlington to find the nine suspects.
Police ask anyone with information about potential trafficking in the county to call 703-558-2222 or provide anonymous tips to 866-411-8477.",Arlington,Virginia,5,9,Mix,https://www.nbcwashington.com/news/local/9-charged-for-human-trafficking-in-arlington-county/139591/
new,news,Patch,11/29/2018,4,Arlington Massage Parlor Was Prostitution Front: DA -The owner of four Boston area massage parlors now faces human trafficking charges.  ,"ARLINGTON – The owner of an Arlington massage parlor was arrested Wednesday in connection with a large-scale human trafficking operation in greater Boston, the Middlesex District Attorney's office said. Dan T. Zheng, 47, owner of Lisa Massage Therapy on Massachusetts Avenue, was arrested at Rose Health Spa in Boston Wednesday. She was turned over to Arlington police to be arraigned in Cambridge District Court on charges of trafficking of persons for sexual servitude, deriving support from prostitution and procuring support for prostitution, according to the DA's office. Zheng also owns massage parlors in Stoneham and Dracut. Six female workers were found in the four spas after months of investigation. ""The defendant in this case was allegedly using businesses in four communities as a front to provide illegal sexual services for a fee while exploiting the women who were employed by her in the process,"" District Attorney Marian Ryan said in a statement. The Suffolk County District Attorney's office said after Zheng is arraigned in Cambridge, she'll face similar charges in Boston. In June, the FBI Boston Human Trafficking and Child Exploitation Task Force and Malden police began watching the massage parlors. Police said they learned that clients were being offered and accepting sexual services after scheduled massages for additional fees. Investigators said Zheng was in charge of the day-to-day operations at the parlors and that, as part of running the business, she scheduled appointments and transported employees from Boston to the massage parlors for work. Zheng is also accused of paying the massage therapists a minimal fee and keeping the rest of the money for the services they performed. ""Motivated by profit, Ms. Zheng ran an extensive criminal operation taking advantage of the vulnerable young women who worked for her by selling them for sex,"" Harold H. Shaw, Special Agent in Charge of the FBI Boston Division, said in a statement. ""Human trafficking is a crime that happens all around us, often in plain sight, impacting the safety of our neighborhoods and our quality of life. When human beings are treated as commodities, they are not only being abused physically, but emotionally and financially.""",Cambridge,Boston,6,1,Chinese,https://patch.com/massachusetts/arlington/arlington-massage-parlor-was-prostitution-front-da
new,news,Wavy.com,6/17/2019,1,4 charged in human trafficking investigation in Va. Beach ,"VIRGINIA BEACH, Va. (WAVY) — Four people face charges in connection to a prostitution and human trafficking investigation. Authorities arrested 45-year-old Tiehu Cai, 43-year-old Wang Daoju, 50-year-old Haihong Li, and 50-year-old Juan Fu
Cai is charged with maintain or frequent a bawdy place, using vehicle to promote prostitution and pander, pimp or receive money from prostitute.
Daoju is charged with solicitation for prostitution and maintain or frequent bawdy place. Li is charged with prostitution, adultery or fornication for money, etc., and maintain or frequent a bawdy place. Fu is charged with maintain or frequent a bawdy place and using vehicle to promote prostitution. Their charges come after Homeland Security investigators and Virginia Beach police raided the three massage parlors and another business across the city on Thursday, June 13. The raid included the massage parlor in the Kempsville Plaza. The other businesses were on Princess Anne Road, Independence Boulevard and General Booth Boulevard. ",Virginia Beach,Virginia,7,4,Chinese,https://www.wavy.com/news/local-news/virginia-beach/4-charged-in-human-trafficking-investigation-in-va-beach/
havecase,gov,Eastern District of Virginia,11/13/2015,5,Leader of “Scheme Team” Gang Sentenced to 20 Years for Sex Trafficking,"ALEXANDRIA, Va. – Alexis Rahkeem Carter, aka Bishop, 25, of Fairfax, was sentenced today to 20 years in prison for sex trafficking of a child.

Carter pleaded guilty on Aug. 31, 2015.  According to court documents, Carter was a leader of a gang known as “Scheme Team.”  In addition to robbery, narcotics, and weapons trafficking, Carter and Scheme Team generated revenue by sex trafficking teenage girls and adults.  One of the girls sex trafficked by Carter was 15 years old.  Carter instructed victims to lie to customers by telling them that they were over 18 years old, unless a customer requested an underage girl.  Despite their youth, Carter instructed the victims to submit to any sex acts that customers demanded.  In addition to exploiting these minors for profit, Carter also used these victims for his own sexual gratification.

Carter sex trafficked women and girls in 2014 and 2015 in Maryland, West Virginia, Pennsylvania, and Virginia.  Carter set a monetary quota of $1,000 per day, which victims were required to earn, and the victims generally met this quota.  Carter received nearly all of the commercial sex proceeds earned by the girls he sex trafficked, and he sometimes required victims to submit to searches to ensure they were not keeping any of the prostitution proceeds from Carter.

To keep victims compliant, Carter frequently provided them with alcoholic beverages and controlled substances, including OxyContin, Percocet, molly, spice (also known as “K2”), Xanax, Roxicodone, and marijuana.  Carter also told victims that he had guns, threatened victims with violence, and used physical force on victims, including pulling their hair and shoving them.

Dana J. Boente, U.S. Attorney for the Eastern District of Virginia; Clark E. Settles, Special Agent in Charge of U.S. Immigration and Customs Enforcement’s (ICE) Homeland Security Investigations (HSI) Washington; and Charles E. Jett, Stafford County Sheriff, made the announcement after sentencing by U.S. District Judge Claude M. Hilton.  Assistant U.S. Attorney Michael J. Frank is prosecuting the case and was assisted by the Stafford County Commonwealth’s Attorney’s Office.

A copy of this press release may be found on the website of the U.S. Attorney’s Office for the Eastern District of Virginia.  Related court documents and information may be found on the website of the District Court for the Eastern District of Virginia or on PACER by searching for Case No. 1:15-cr-256.",Fairfax,Virginia,1,2,African-American,https://www.justice.gov/usao-edva/pr/leader-scheme-team-gang-sentenced-20-years-sex-trafficking
havecase,news,InsideNOVA,9/1/2015,2,Fairfax man pleads guilty to prostituting a minor,"A Fairfax man pleaded guilty Monday to federal sex trafficking for prostituting a teen girl in Stafford.
Alexis Rahkeem Carter, also known as Bishop, pleaded guilty at U.S. District Court in Alexandria to sex trafficking of a child, federal prosecutors said in a news release. According to court documents, Carter was a member of a group called “Scheme Team” that prostituted at least two teen girls and one adult woman in Northern Virginia, Maryland, Pennsylvania and West Virginia. Prosecutors said the group started by robbing people and businesses and then moved on to selling drugs and firearms and sex trafficking. 
Prosecutors said Carter prostituted a 17-year-old girl in Stafford County between Feb. 5 and 13. He was arrested by officers from the Stafford County Sheriff’s Office’s special problems unit. According to the court documents, Carter would “groom” the underage girls for prostitution by performing sex acts on them and would provide them with alcohol and drugs, including prescription painkillers, molly, spice and marijuana “to keep the victims compliant.” Prosecutors said Carter solicited sex customers by advertising on the Internet and charged between $80 for “a short stay” to $500 for “sex acts that involved a customer having sex with two girls.” Prosecutors said the victims were required to earn $1,000 a day and Carter would threaten and sometimes use physical violence on them. Carter faces a mandatory minimum of 10 years in prison and could be sentenced up to life in prison when he is sentenced on Nov. 13.",Stafford,Virginia,1,2,African-American,https://www.insidenova.com/news/fairfax-man-pleads-guilty-to-prostituting-a-minor/article_cf9a339a-500e-11e5-aba5-47f2bbcaff27.html
