F,Website,Name,Type,Adress,County_seat,state,zipCode,Lat,Lon,price_room_per_night,Star,city_has_criminal_recorded_courtcase,hotspot_Paloris,strip_club_40min,# massage_parlor_nearby,identified_online_ads,recent_has_sport_event,race_white_more_than_60%,male_avg_Earning,Single_Rate,white_male,white_population,white_average,male_rate,marriage_rate,Ave_Earning
1,Hotel.com,Red Roof Inn PLUS+ Washington DC - Manassas,Inn,10610 Automotive Drive,Manassas,VA,20109,38.800360,-77.515600,$57 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688"
2,Hotel.com,Super 8 by Wyndham Manassas,Inn,8691 Phoenix Dr,Manassas,VA,20110,38.763920,-77.457050,$57 ,2,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688"
3,Hotel.com,Days Inn by Wyndham Manassas Battlefield,Inn,"7249 New Market Ct, I-66 Exit 47A and RT 234",Manassas,VA,20109,38.799409,-77.520285,$58 ,2,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688"
4,Hotel.com,Days Inn by Wyndham Manassas,Inn,7611 Centreville Road,Manassas,VA,20111,38.759860,-77.462060,$58 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688"
5,Hotel.com,Olde Town Inn,Inn,10910 Balls Ford Rd,Manassas,VA,20109,38.800460,-77.525790,$63 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688"
6,Hotel.com,Comfort Suites Manassas Battlefield Park,,7350 Williamson Blvd,Manassas,VA,20109,38.795160,-77.516530,$71 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688"
7,Hotel.com,Quality Inn Manassas,,10653 Balls Ford Rd,Manassas,VA,20109,38.798070,-77.516280,$72 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688"
8,Hotel.com,La Quinta Inn & Suites by Wyndham Manassas,,6950 Nova Way,Manassas,VA,20109,38.806000,-77.519150,$75 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688"
9,Hotel.com,Best Western Battlefield Inn,,10820 Balls Ford Rd,Manassas,VA,20109,38.798640,-77.519890,$84 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688"
10,Hotel.com,Best Western Manassas,,8640 Mathis Ave,Manassas,VA,20110,38.767820,-77.457130,$88 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688"
11,Hotel.com,Holiday Inn Express and Suites Manassas,,10810 Battleview Pkwy,Manassas,VA,20109,38.805730,-77.520490,$95 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688"
12,Hotel.com,Candlewood Suites Manassas,,11220 Balls Ford Rd,Manassas,VA,20109,38.797570,-77.531620,$110 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688"
13,Hotel.com,Hampton Inn Manassas,Inn,7295 Williamson Blvd,Manassas,VA,20109,38.796160,-77.515840,$132 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688"
14,Hotel.com,Econo Lodge Near Quantico Marine Base,,17005 Dumfries Rd,Dumfries,VA,22025,38.583430,-77.329340,$50 ,2,1,1,1,1,1,0,0,"$41,953",58.00%,1244.8,2715,51.97%,45.85%,42.00%,"$35,505"
15,Hotel.com,Motel 6 Dumfries,Motel,"17133 Dumfries Rd, Dumfries, VA 22025",Dumfries,VA,22025,38.582230,-77.324580,$50 ,2,1,1,1,1,1,0,0,"$41,953",58.00%,1244.8,2715,51.97%,45.85%,42.00%,"$35,505"
16,Hotel.com,Red Roof Inn Dumfries – Quantico,Inn,17113 Dumfries Road,Dumfries,VA,22025,38.582560,-77.322850,$51 ,2,1,1,1,1,1,0,0,"$41,953",58.00%,1244.8,2715,51.97%,45.85%,42.00%,"$35,505"
17,Hotel.com,"Motel 6 Washington DC SW-Springfield, VA",Motel,6868 Springfield Blvd,Springfield ,VA,22150,38.777970,-77.183070,$54 ,2,1,1,1,1,1,0,0,"$48,855",50.90%,8595.7,17510,68.00%,49.09%,49.10%,"$42,497"
18,Hotel.com,Days Inn by Wyndham Dumfries Quantico,Inn,16925 Old Stage Rd,Dumfries,VA,22026,38.572160,-77.315820,$55 ,2,1,1,1,1,1,0,0,"$41,953",58.00%,1244.8,2715,51.97%,45.85%,42.00%,"$35,505"
19,Hotel.com,Vienna Wolf Trap Hotel,Hotel,430 Maple Avenue West,Vienna,VA,22180,38.895240,-77.272510,$56 ,2,1,1,1,1,1,0,0,"$111,817",37.70%,6299.6,12683,76.75%,49.67%,62.30%,"$90,680"
20,Hotel.com,Red Roof Inn Warrenton,Inn,6 Broadview Ave,Warrenton,VA,20186,38.717830,-77.808830,$58 ,2,1,1,1,1,0,0,0,"$63,529",49.70%,3767.6,8391,84.99%,44.90%,50.30%,"$52,352"
