,F,Website,Name,Type,Adress,County_seat,state,zipCode,Lat,Lon,price_room_per_night,Star,city_has_criminal_recorded_courtcase,hotspot_Paloris,strip_club_40min,# massage_parlor_nearby,identified_online_ads,recent_has_sport_event,race_white_more_than_60%,male_avg_Earning,Single_Rate,white_male,white_population,white_average,male_rate,marriage_rate,Ave_Earning,risk
0,1,Hotel.com,Red Roof Inn PLUS+ Washington DC - Manassas,Inn,10610 Automotive Drive,Manassas,VA,20109.0,38.80036,-77.5156,$57 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688",0.6502068312945469
1,2,Hotel.com,Super 8 by Wyndham Manassas,Inn,8691 Phoenix Dr,Manassas,VA,20110.0,38.76392,-77.45705,$57 ,2.0,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688",0.6502270547099404
2,3,Hotel.com,Days Inn by Wyndham Manassas Battlefield,Inn,"7249 New Market Ct, I-66 Exit 47A and RT 234",Manassas,VA,20109.0,38.799409000000004,-77.520285,$58 ,2.0,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688",0.6502020517097858
3,4,Hotel.com,Days Inn by Wyndham Manassas,Inn,7611 Centreville Road,Manassas,VA,20111.0,38.759859999999996,-77.46206,$58 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688",0.6501818304909978
4,5,Hotel.com,Olde Town Inn,Inn,10910 Balls Ford Rd,Manassas,VA,20109.0,38.80046,-77.52579,$63 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688",0.650056869787086
5,6,Hotel.com,Comfort Suites Manassas Battlefield Park,,7350 Williamson Blvd,Manassas,VA,20109.0,38.795159999999996,-77.51653,$71 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688",0.6498570827369298
6,7,Hotel.com,Quality Inn Manassas,,10653 Balls Ford Rd,Manassas,VA,20109.0,38.79807,-77.51628000000001,$72 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688",0.6498321223362136
7,8,Hotel.com,La Quinta Inn & Suites by Wyndham Manassas,,6950 Nova Way,Manassas,VA,20109.0,38.806,-77.51915,$75 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688",0.6497572584336976
8,9,Hotel.com,Best Western Battlefield Inn,,10820 Balls Ford Rd,Manassas,VA,20109.0,38.79864,-77.51989,$84 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688",0.6495328223470359
9,10,Hotel.com,Best Western Manassas,,8640 Mathis Ave,Manassas,VA,20110.0,38.76782,-77.45713,$88 ,2.5,1,1,1,1,1,0,1,"$48,321",46.60%,13772.2,27484,66.30%,50.11%,53.40%,"$41,688",0.6494331478588273
